,feat_selection,model,data_partition,feat_set,MAPE,MAE,RMSE
505,RFE,XGB,<=100,11,0.3226,4.47,5.3388
506,RFE,XGB,<=100,12,0.3367,4.6663,5.6737
507,RFE,XGB,<=100,13,0.335,4.6813,5.6488
508,RFE,SVM,<=100,1,0.5072,6.3731,7.4906
509,RFE,SVM,<=100,2,0.4239,5.2563,6.4725
510,RFE,SVM,<=100,3,0.4136,5.1751,6.2569
511,RFE,SVM,<=100,4,0.4264,5.2639,6.3661
512,RFE,SVM,<=100,5,0.4218,5.2442,6.3192
513,RFE,SVM,<=100,6,0.3791,4.7991,5.7526
514,RFE,SVM,<=100,7,0.3822,4.8663,5.8381
515,RFE,SVM,<=100,8,0.3848,4.8769,5.8428
516,RFE,SVM,<=100,9,0.3897,4.9416,5.8974
517,RFE,SVM,<=100,10,0.3941,5.0024,5.9477
518,RFE,SVM,<=100,11,0.3995,5.0158,6.0066
519,RFE,SVM,<=100,12,0.3978,5.0314,6.0221
520,RFE,SVM,<=100,13,0.3907,4.9694,5.9564
521,RFE,LR,>100,1,0.2217,5.4965,6.4993
522,RFE,LR,>100,2,0.2599,6.5913,7.8886
523,RFE,LR,>100,3,0.2211,5.7468,6.9316
524,RFE,LR,>100,4,0.2442,6.5128,7.3941
525,RFE,LR,>100,5,0.2361,6.4757,7.6461
526,RFE,LR,>100,6,0.1668,4.4113,4.9291
527,RFE,LR,>100,7,0.2223,5.9606,6.3793
528,RFE,LR,>100,8,0.2689,7.1138,7.7566
529,RFE,LR,>100,9,1.1905,33.3812,34.5001
530,RFE,LR,>100,10,0.4478,11.8025,12.8971
531,RFE,LR,>100,11,0.2195,6.0229,7.2696
532,RFE,LR,>100,12,0.254,6.9469,8.3352
533,RFE,LR,>100,13,0.2551,6.9158,8.264
534,RFE,DT,>100,1,0.3539,8.6167,9.1343
535,RFE,DT,>100,2,0.4113,10.49,10.88
536,RFE,DT,>100,3,0.3685,8.9533,10.4785
537,RFE,DT,>100,4,0.3817,8.91,10.7275
538,RFE,DT,>100,5,0.2964,8.62,9.5154
539,RFE,DT,>100,6,0.2257,5.54,6.006
540,RFE,DT,>100,7,0.2048,5.0733,6.4607
541,RFE,DT,>100,8,0.2469,6.3733,5.1336
542,RFE,DT,>100,9,0.1801,6.5067,5.311
543,RFE,DT,>100,10,0.2604,6.0567,6.2187
544,RFE,DT,>100,11,0.2418,5.2367,6.2129
545,RFE,DT,>100,12,0.2286,6.5967,7.2021
546,RFE,DT,>100,13,0.2728,6.6733,6.1825
547,RFE,RF,>100,1,0.2849,6.931,7.8317
548,RFE,RF,>100,2,0.2691,6.7336,7.8183
549,RFE,RF,>100,3,0.2301,5.7315,6.7685
550,RFE,RF,>100,4,0.2519,6.0979,7.4143
551,RFE,RF,>100,5,0.2554,6.2488,7.1524
552,RFE,RF,>100,6,0.1592,3.8606,4.073
553,RFE,RF,>100,7,0.1623,3.8644,4.1887
554,RFE,RF,>100,8,0.161,3.8506,4.1888
555,RFE,RF,>100,9,0.1683,4.0482,4.3552
556,RFE,RF,>100,10,0.1664,3.9863,4.3376
557,RFE,RF,>100,11,0.1798,4.2764,4.7718
558,RFE,RF,>100,12,0.1643,3.9767,4.2762
559,RFE,RF,>100,13,0.1681,4.0324,4.5551
560,RFE,XGB,>100,1,0.3539,8.6164,9.1342
561,RFE,XGB,>100,2,0.3284,8.4201,9.7324
562,RFE,XGB,>100,3,0.304,7.7622,8.3802
563,RFE,XGB,>100,4,0.3603,8.6517,9.8076
564,RFE,XGB,>100,5,0.305,7.4852,8.6151
565,RFE,XGB,>100,6,0.1824,4.4534,4.9408
566,RFE,XGB,>100,7,0.1828,4.4681,4.9473
567,RFE,XGB,>100,8,0.1828,4.4683,4.95
568,RFE,XGB,>100,9,0.1851,4.5338,4.9848
569,RFE,XGB,>100,10,0.1864,4.5527,5.0212
570,RFE,XGB,>100,11,0.1855,4.5169,5.0044
571,RFE,XGB,>100,12,0.1794,4.3662,4.8404
572,RFE,XGB,>100,13,0.1791,4.2731,4.5819
573,RFE,SVM,>100,1,0.2135,5.4334,6.2105
574,RFE,SVM,>100,2,0.2243,5.7493,6.5278
575,RFE,SVM,>100,3,0.2193,5.6349,6.3111
576,RFE,SVM,>100,4,0.2313,5.9288,6.5657
577,RFE,SVM,>100,5,0.2353,6.0431,6.6643
578,RFE,SVM,>100,6,0.2329,5.9675,6.5588
579,RFE,SVM,>100,7,0.234,5.9955,6.6108
580,RFE,SVM,>100,8,0.2358,6.0384,6.6783
581,RFE,SVM,>100,9,0.2393,6.1075,6.717
582,RFE,SVM,>100,10,0.2427,6.1975,6.7811
583,RFE,SVM,>100,11,0.2485,6.3595,6.9027
584,RFE,SVM,>100,12,0.2515,6.4518,6.9939
585,RFE,SVM,>100,13,0.2514,6.4465,6.9843
